Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
01,2024,"10,150",590,"53,429", -   ,"64,679","66,248","1,598", -   ,"108,351", -   , -   ,"108,351","17,656","-42,103","66,248","61,057",-63319.00,"-2,262","-14,353","-14,353","-14,353","-43,223",
02,2024,"6,150","5,912","9,552", -   ,"21,767","63,571","1,197","8,029","12,225", -   ,8,"12,233","35,000","51,338","63,571","70,771",-59378.00,"11,393","-5,863","-4,821","-4,821","51,201",440
03,2024,"101,876","147,476","115,182", -   ,"365,284","495,920","122,764", -   ,"269,972", -   ,"4,805","274,777","68,000","221,143","495,920","727,057",-654719.00,"72,338","42,684","45,668","39,269","220,928",
04,2024,"4,714","4,049","321,473", -   ,"337,746","342,685","336,846", -   ,"422,921", -   , -   ,"422,921","21,186","-80,236","342,685","112,761",-108526.00,"4,236",264,263,151,"-80,236", -   
05,2024,"20,598","11,230","51,878", -   ,"85,995","86,715","9,683",12,"21,090", -   , -   ,"21,090","1,831","65,625","86,715","165,422",-93609.00,"71,814","33,270","32,502","26,001","65,625", -   
06,2024,"73,910","67,721","85,385", -   ,"240,297","333,424","133,062","43,018","236,812", -   , -   ,"236,812","86,615","96,612","333,424","1,095,885",-1021476.00,"74,408","9,564","8,529","8,529","95,405",
07,2024,"18,597","299,153","1,253,716",192,"1,598,155","2,040,368","115,951","609,744","824,683",371,"6,466","831,149","280,000","1,209,219","2,040,368","1,264,192",-1096380.00,"167,812","9,098","9,306","2,262","1,203,811","15,830"
08,2024,"8,820","15,096","4,689", -   ,"28,604","37,981","1,318","5,519","14,442", -   , -   ,"14,442","21,000","23,539","37,981","38,001",-28520.00,"9,481",331,307,245,"23,539",
09,2024,"66,631","20,219","5,282", -   ,"92,132","95,199","67,347", -   ,"69,644", -   , -   ,"69,644","3,000","25,555","95,199","38,208",-31423.00,"6,785",472,"1,490","1,192","25,555",
10,2024,"55,909","438,400","17,442", -   ,"512,130","687,969","87,227", -   ,"813,745", -   , -   ,"813,745","314,769","-125,776","687,969","1,644,170",-1496360.00,"147,810","21,639","8,273","-31,618","-125,776", -   
